D0,PA_10
D1,PA_9
D2,PA_8
D3,PC_4
D4,PB_2
D5,PA_7
D6,PA_6
D7,PA_5
D8,PA_3
D9,PA_1
D10,PA_2
D11,PA_11
D12,PA_12
D13,PB_6
D14,PB_1
D15,PA_15
D16,PB_3
D17,PB_10
D18,PB_11
D19,PC_6
D20,PB_5
D21,PB_0
D22,PB_7
D23,PC_13
D24,PB_4
D25,PA_4
D26,PB_12
D27,PB_15
D28,PB_14
D29,PB_13
D30,PA_0
A0,PC_4
A1,PB_2
A2,PA_7
A3,PA_6
A4,PA_5
A5,PA_3
A6,PA_1
A7,PA_2
A8,PA_0
PA_10,PA_10
PA_9,PA_9
PA_8,PA_8
PC_4,PC_4
PB_2,PB_2
PA_7,PA_7
PA_6,PA_6
PA_5,PA_5
PA_3,PA_3
PA_1,PA_1
PA_2,PA_2
PA_11,PA_11
PA_12,PA_12
PB_6,PB_6
PB_1,PB_1
PA_15,PA_15
PB_3,PB_3
PB_10,PB_10
PB_11,PB_11
PC_6,PC_6
PB_5,PB_5
PB_0,PB_0
PB_7,PB_7
PC_13,PC_13
PB_4,PB_4
PA_4,PA_4
PB_12,PB_12
PB_15,PB_15
PB_14,PB_14
PB_13,PB_13
PA_0,PA_0
LED,PB_6
LED_GREEN,PB_6
SW,PB_1
VBAT,PA_0
SV1,PA_2
SV2,PA_3
SV3,PA_11
SV4,PA_12
SENS1,PB_2
SENS2,PA_7
SENS3,PA_6
SENS4,PA_5